DR Number,Date Occurred,Time Occurred,latitude,longitude
120312271,2012-05-09,845,34.0255,-118.3548
121215287,2012-06-13,745,33.9997,-118.2827
122111938,2012-06-17,1530,34.2083,-118.5929
221908689,2012-04-25,2120,34.3028,-118.4269
120108236,2012-03-17,20,34.0601,-118.2502
120314425,2012-06-05,20,34.0183,-118.3556
120509891,2012-04-23,1215,33.8524,-118.2924
120511648,2012-05-29,1550,33.7541,-118.2517
120511224,2012-05-20,1830,33.8315,-118.3091
120508019,2012-03-16,1920,33.7794,-118.2728
120615848,2012-06-08,845,34.0981,-118.3158
120806778,2012-03-06,920,34.0594,-118.3836
121210305,2012-03-31,1250,33.9891,-118.3149
121211277,2012-04-15,1455,33.9932,-118.3282
121813267,2012-06-26,1900,33.9432,-118.2435
122009172,2012-04-06,1200,34.0636,-118.2954
120510780,2012-05-10,2130,33.7388,-118.2791
122107714,2012-03-18,830,34.1555,-118.6249
122107173,2012-03-06,1205,34.1679,-118.5974
122106930,2012-03-01,1355,34.2201,-118.5798
120407931,2012-03-22,1400,34.0737,-118.2144
121307893,2012-03-05,750,34.0224,-118.2486
121310886,2012-04-23,2055,34.02,-118.2395
121312334,2012-05-19,115,33.9861,-118.2696
121309975,2012-04-06,745,34.0111,-118.28
121307801,2012-03-03,1530,34.0144,-118.2705
121312199,2012-05-16,1735,34.0181,-118.2488
121314107,2012-06-19,1340,33.9921,-118.2456
121313876,2012-06-15,1405,34.0372,-118.2476
121309142,2012-03-26,1125,34.0112,-118.274
120112190,2012-05-18,1115,34.0537,-118.2558
120114321,2012-06-20,1900,34.0416,-118.2584
120111965,2012-05-15,900,34.0467,-118.247
120210386,2012-04-26,2050,34.0647,-118.2583
120212412,2012-06-06,700,34.0663,-118.2789
120210154,2012-04-23,1135,34.0693,-118.2687
120211821,2012-05-26,900,34.0857,-118.2812
120208300,2012-03-20,1440,34.0555,-118.2724
120108627,2012-03-17,2359,34.0439,-118.2514
120113586,2012-06-08,1350,34.0455,-118.2381
120109972,2012-04-14,1200,34.0495,-118.2563
120108373,2012-03-20,1,34.0459,-118.2579
120114705,2012-06-24,1530,34.0541,-118.2417
120108281,2012-03-17,1930,34.045,-118.264
120111962,2012-05-15,920,34.051,-118.248
120107421,2012-03-03,1255,34.0544,-118.2535
120110454,2012-04-22,130,34.06,-118.2486
120109921,2012-04-13,1030,34.0455,-118.2381
120113881,2012-06-13,1430,34.0468,-118.2641
120112392,2012-05-21,1400,34.0485,-118.2447
120109989,2012-04-14,1740,34.0462,-118.2628
120108477,2012-03-21,1350,34.0495,-118.2529
120109131,2012-03-31,2220,34.0488,-118.2569
120110577,2012-04-24,625,34.033,-118.2615
120111310,2012-05-03,1835,34.0416,-118.255
120113634,2012-06-09,1945,34.0338,-118.2665
120112651,2012-05-25,1525,34.0617,-118.2363
120113137,2012-06-02,945,34.0711,-118.2263
