DR Number,Date Occurred,Time Occurred,latitude,longitude
120615848,2012-06-08,845,34.0981,-118.3158
120210154,2012-04-23,1135,34.0693,-118.2687
120114705,2012-06-24,1530,34.0541,-118.2417
120112579,2012-05-24,1120,34.0541,-118.2312
120112821,2012-05-28,1140,34.0644,-118.2387
120114544,2012-06-23,1730,34.0673,-118.2354
120109462,2012-04-05,1920,34.065,-118.2418
120107483,2012-03-04,1420,34.0571,-118.2435
120121366,2012-06-14,2200,34.059,-118.2474
120113056,2012-05-31,1530,34.0649,-118.2399
120108745,2012-03-25,1945,34.059,-118.2474
120114410,2012-06-12,1805,34.0661,-118.2476
120112113,2012-05-17,615,34.0565,-118.2445
120108166,2012-03-15,1530,34.0613,-118.2446
120111883,2012-05-14,915,34.0552,-118.2322
120111180,2012-05-02,1725,34.0644,-118.2387
120114263,2012-06-19,2010,34.059,-118.2474
120112030,2012-05-16,940,34.0628,-118.2395
120109343,2012-04-04,1150,34.0552,-118.2322
120109658,2012-03-28,2300,34.0609,-118.2435
120109491,2012-04-05,2125,34.0541,-118.2417
120112594,2012-05-24,1735,34.0582,-118.2465
120112315,2012-05-20,1050,34.0644,-118.2387
120113895,2012-06-13,2250,34.0736,-118.2312
120108999,2012-03-28,1550,34.0609,-118.2435
120109993,2012-04-14,220,34.0548,-118.2377
120114552,2012-06-24,320,34.0566,-118.2319
120109274,2012-04-03,1545,34.0544,-118.2466
120110166,2012-04-17,1600,34.0628,-118.2395
120107482,2012-03-04,1720,34.057,-118.2437
120112438,2012-05-22,1200,34.0504,-118.2345
120112124,2012-05-17,1305,34.0566,-118.2319
120110599,2012-04-24,1550,34.0548,-118.2377
120112893,2012-05-29,1230,34.0582,-118.2465
120109825,2012-04-11,1615,34.0557,-118.2436
120110311,2012-04-18,1800,34.0557,-118.2436
120110705,2012-04-25,2220,34.0586,-118.2402
120112276,2012-05-20,2330,34.0563,-118.2309
120110411,2012-04-21,1100,34.0568,-118.2425
120109382,2012-04-04,1620,34.0561,-118.2415
120111588,2012-05-09,750,34.0557,-118.2436
120111336,2012-05-04,1155,34.0562,-118.2414
120112769,2012-05-27,1400,34.0561,-118.2415
120113839,2012-06-12,1839,34.0688,-118.2333
120114540,2012-06-23,1730,34.0673,-118.2354
120107786,2012-03-08,2045,34.0562,-118.2414
120110717,2012-04-04,1130,34.0644,-118.2387
120114247,2012-06-19,1210,34.0558,-118.24
120111655,2012-05-09,2255,34.0568,-118.2425
120114036,2012-06-15,1640,34.065,-118.2384
120108933,2012-03-28,1645,34.0565,-118.2445
120108362,2012-03-19,1600,34.0541,-118.2417
120111744,2012-05-11,1405,34.0644,-118.2387
120111454,2012-05-06,1505,34.0628,-118.2395
120114708,2012-06-26,1635,34.0527,-118.2314
120112684,2012-05-25,2150,34.0586,-118.2402
120110501,2012-04-22,2355,34.0537,-118.2379
120114542,2012-06-23,1805,34.0736,-118.2312
120111027,2012-04-30,1305,34.0568,-118.2426
120109414,2012-04-03,2359,34.0502,-118.2336
120112242,2012-05-19,150,34.0607,-118.2494
120112277,2012-05-20,2331,34.0563,-118.2309
120113404,2012-06-07,125,34.0682,-118.2502
120110435,2012-04-21,1715,34.0582,-118.2465
120108498,2012-03-21,1550,34.065,-118.2384
120114772,2012-06-27,1715,34.0646,-118.2372
120113024,2012-05-31,1710,34.0644,-118.2387
120110289,2012-04-19,1705,34.0582,-118.2465
120114281,2012-06-13,1230,34.0566,-118.2319
120113348,2012-06-05,1030,34.0522,-118.2342
120107426,2012-03-03,1220,34.0549,-118.2426
120109893,2012-04-13,120,34.065,-118.2418
120110896,2012-04-28,1105,34.0565,-118.2445
120113823,2012-06-12,1725,34.0561,-118.2415
120111394,2012-05-05,355,34.0552,-118.2322
120113403,2012-06-06,2250,34.0582,-118.2465
120112025,2012-05-16,1305,34.0566,-118.2319
120109085,2012-03-31,300,34.0565,-118.2445
120114227,2012-06-19,805,34.0558,-118.24
120108027,2012-03-13,1340,34.0557,-118.2436
120108138,2012-03-15,1050,34.0568,-118.2425
120109227,2012-04-01,55,34.0582,-118.2465
120114422,2012-06-21,1620,34.0628,-118.2395
120108338,2012-03-17,1930,34.0673,-118.2489
120114543,2012-06-23,1730,34.0673,-118.2354
120110602,2012-04-24,1610,34.0646,-118.2372
120114488,2012-06-22,1600,34.0537,-118.2455
120107747,2012-03-08,1320,34.0549,-118.2426
120112739,2012-05-26,2322,34.065,-118.2384
